RequestedAt, User, Iteration, Parameter, Value
2017-05-24 17:36:33.5605087,1,1,myTest.search,books
2017-05-24 17:36:33.5615088,1,1,CurrentDate,2017-05-24 05:36:33
2017-05-24 17:36:34.0675377,2,1,myTest.search,c#code
2017-05-24 17:36:34.0675377,2,1,CurrentDate,2017-05-24 05:36:34
2017-05-24 17:36:34.8695836,3,1,myTest.search,gst
2017-05-24 17:36:34.8695836,3,1,CurrentDate,2017-05-24 05:36:34
2017-05-24 17:36:36.1526570,4,1,myTest.search,code
2017-05-24 17:36:36.1526570,4,1,CurrentDate,2017-05-24 05:36:36
2017-05-24 17:36:37.4477310,5,1,myTest.search,niagra
2017-05-24 17:36:37.4477310,5,1,CurrentDate,2017-05-24 05:36:37
2017-05-24 17:36:38.2427765,1,2,myTest.search,bookcenter
2017-05-24 17:36:38.2427765,1,2,CurrentDate,2017-05-24 05:36:38
2017-05-24 17:36:38.3947852,6,1,myTest.search,learngo
2017-05-24 17:36:38.3947852,6,1,CurrentDate,2017-05-24 05:36:38
2017-05-24 17:36:39.2148321,2,2,myTest.search,learnc++
2017-05-24 17:36:39.2148321,2,2,CurrentDate,2017-05-24 05:36:39
2017-05-24 17:36:39.5498513,3,2,myTest.search,mysql
2017-05-24 17:36:39.5498513,3,2,CurrentDate,2017-05-24 05:36:39
2017-05-24 17:36:40.1408851,7,1,myTest.search,mssql
2017-05-24 17:36:40.1408851,7,1,CurrentDate,2017-05-24 05:36:40
2017-05-24 17:36:41.0549100,8,1,myTest.search,java
2017-05-24 17:36:41.0649100,8,1,CurrentDate,2017-05-24 05:36:41
2017-05-24 17:36:41.8049111,4,2,myTest.search,newtron
2017-05-24 17:36:41.8049111,4,2,CurrentDate,2017-05-24 05:36:41
2017-05-24 17:36:42.6149122,9,1,myTest.search,books
2017-05-24 17:36:42.6149122,9,1,CurrentDate,2017-05-24 05:36:42
2017-05-24 17:36:43.2309145,1,3,myTest.search,c#code
2017-05-24 17:36:43.2309145,1,3,CurrentDate,2017-05-24 05:36:43
